DAY 8,CD4SP,Donor(CD4SP),EdU+(CD4SP),CD8 SP,Donor(CD8 SP),EdU+(CD8 SP),ISP,Donor(ISP),EdU+(ISP),DN1,Donor(DN1),EdU+(DN1),DN2,Donor(DN2),EdU+(DN2),DN3,Donor(DN3),EdU+(DN3),DN4,Donor(DN4),EdU+(DN4),DP,Donor(DP),EdU+(DP),Total EdU+,,
__Ctrl_no_edu_001.fcs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
__ctrl_edu_2h_camila_002.fcs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
__h_d8_RP909A_003.fcs,69854,69505,7993,54947,54672,4538,1144,1139,35,188,138,10,766,2,2,1332,9,0,458,39,0,106851,106317,744,13322,,
__h_d8_RP909B_004.fcs,28665,28120,1997,23758,23449,1219,19905,19885,80,386,291,22,819,0,0,1747,159,0,8614,284,3,1299958,1298658,5195,8515,,
__h_d8_RP910A_005.fcs,41654,40780,2569,56363,55574,3501,1111,1109,31,336,275,29,939,0,0,1730,16,0,637,16,0,12118,11160,145,6276,,
__h_d8_RP910B_006.fcs,43801,43363,4336,30730,30269,1998,5818,5736,11,235,141,9,1030,0,0,2314,139,2,1194,16,0,135157,134481,672,7029,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
