DAY 0.5,CD4SP,Donor(CD4SP),EdU+(CD4SP),CD8 SP,Donor(CD8 SP),EdU+(CD8 SP),ISP,Donor(ISP),EdU+(ISP),DN1,Donor(DN1),EdU+(DN1),DN2,Donor(DN2),EdU+(DN2),DN3,Donor(DN3),EdU+(DN3),DN4,Donor(DN4),EdU+(DN4),DP,Donor(DP),EdU+(DP),Total EdU+,,
__a_d0-5_RP933A_005.fcs,539494,537875,75840,126490,125985,31622,112547,112434,107599,1960,1792,279,7967,7067,5442,124886,118392,44634,159348,145803,136909,15172217,15172217,3641332,4043658,,
__a_d0-5_RP933B_006.fcs,97000,96612,10724,56409,56239,18615,462,454,375,221,58,10,453,0,0,1015,36,33,600,86,6,210296,209665,22225,51988,,
__a_d0-5_RP936A_007.fcs,555704,554593,54239,195778,195386,50605,4404,4382,2691,1492,566,75,2147,0,0,3024,256,256,4857,957,115,2822683,2819860,327104,435085,,
__a_d0-5_RP936B_008.fcs,294650,293766,36133,154042,153580,49913,620,607,418,621,269,18,1027,0,0,1955,92,76,1560,211,35,525068,524018,38306,124900,,
__a_d0-5_RP937A_009.fcs,660244,658924,67869,274841,274291,75979,2504,2484,1868,1164,497,58,2483,0,0,2188,161,148,4706,993,26,2071477,2069406,223496,369443,,
__a_d0-5_RP937B_010.fcs,396418,395229,49799,211852,211216,68434,1131,1113,923,604,400,38,1715,4,0,2134,284,236,1574,227,36,775538,773987,68343,187809,,
__a_d0-5_RP941A_003.fcs,705660,704249,36691,105531,105215,12310,69255,69186,63720,1321,1125,24,758,734,514,38050,37251,14156,84731,49313,42853,12982435,12982435,2297891,2468160,,
__a_d0-5_RP941B_004.fcs,416719,414219,35623,247279,246043,61511,821,812,553,757,523,30,1211,0,0,3078,139,100,1485,169,9,329596,327619,23752,121578,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
